"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3";"R_Axial_DIN0614_L14.3mm_D5.7mm_P15.24mm_Horizontal";1;"4.7k";;;
2;"C1,C3";"CP_Axial_L30.0mm_D18.0mm_P35.00mm_Horizontal";2;"20uF";;;
3;"C2";"CP_Axial_L20.0mm_D10.0mm_P26.00mm_Horizontal";1;"50uF";;;
4;"P1";"SW_PUSH";1;"SIGNAL_IN";;;
5;"P2";"SW_PUSH";1;"SIGNAL_OUT";;;
6;"Q1";"TO-92_Inline_Narrow_Oval";1;"BC548";;;
7;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P25.40mm_Horizontal";1;"22k";;;
8;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"6.8k";;;
9;"R4";"R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical";1;"1.8k";;;
